Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "RHD2132_headstage1.brd" as of: 4/24/13 6:00 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.525,0.350,270
C2,Top,0.506,0.250,0
C38,Top,0.039,0.192,270
R0,Top,0.050,0.637,270
R1,Top,0.149,0.205,90
R2,Top,0.098,0.205,90
R3,Top,0.388,0.237,0
S1,Top,0.287,0.812,0
S2,Top,0.250,0.138,180
U1,Top,0.287,0.487,0
U2,Top,0.083,0.065,90
