Screaming Circuits SMD component position file.

Centroid Data for pc board: "BCI Module.brd" as of: 4/16/13 5:18 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.428,0.224,270
C2,Top,0.055,0.203,0
C3,Top,0.064,0.252,0
C4,Top,0.428,0.131,270
C6,Top,0.519,0.223,180
C7,Top,0.510,0.270,180
C8,Top,0.189,0.205,0
C9,Top,0.183,0.150,180
C11,Top,0.107,0.150,0
C12,Top,0.547,0.082,270
C13,Top,0.512,0.438,90
C14,Top,0.476,0.446,90
C15,Top,0.409,0.455,180
C16,Top,0.424,0.390,180
C17,Top,0.397,0.300,180
C18,Top,0.424,0.348,180
C19,Top,0.055,0.340,0
C20,Top,0.064,0.292,0
C21,Top,0.148,0.418,0
C22,Top,0.064,0.389,0
C30,Top,0.560,0.438,90
C31,Top,0.552,0.358,0
C32,Top,0.490,0.336,90
C33,Top,0.552,0.318,0
C34,Top,0.483,0.049,270
C35,Top,0.424,0.046,270
C36,Top,0.189,0.262,0
C37,Top,0.122,0.243,270
C38,Top,0.032,0.072,270
C40,Top,0.171,0.320,0
C41,Top,0.178,0.369,0
C50,Top,0.358,0.381,270
C51,Top,0.561,0.530,270
C52,Top,0.278,0.319,180
R17,Top,0.555,0.589,0
R18,Top,0.555,0.624,180
R19,Top,0.421,0.503,0
R20,Top,0.497,0.503,0
RN1,Bottom,0.470,0.685,180
RN2,Bottom,0.344,0.685,180
RN3,Bottom,0.224,0.685,180
RN4,Bottom,0.099,0.685,180
S1,Top,0.295,0.644,0
S2,Top,0.312,0.164,180
U$1,Bottom,0.473,0.607,180
U$2,Bottom,0.347,0.607,180
U$3,Bottom,0.221,0.607,180
U$4,Bottom,0.096,0.607,180
U1,Bottom,0.290,0.286,180
U2,Top,0.141,0.069,90
U3,Top,0.270,0.425,90
